max_rh_93710,max_soil_temp_93710,min_wss_93720,date,Season,year,aqi,ozone,pm25,nox,pollutant,CarryOver,classification
79,24.5,0.0,2012-09-20T00:00:00,1.0,2012,136,0.0809999704360962,26.0,0.032,ozone,150,unhealthy 4 sensitive
76,24.5,0.0,2012-07-16T00:00:00,1.0,2012,108,0.0729999542236328,23.0,0.018,ozone,97,unhealthy 4 sensitive
74,24.5,0.0,2012-09-05T00:00:00,1.0,2012,201,0.0919999480247498,33.0,0.036,ozone,150,very unhealthy
70,25.5,0.0,2012-08-22T00:00:00,1.0,2012,139,0.0819999575614929,19.0,0.023,ozone,129,unhealthy 4 sensitive
61,25.5,0.0,2012-09-10T00:00:00,1.0,2012,115,0.074999988079071,16.0,0.02,ozone,143,unhealthy 4 sensitive
75,25.5,0.0,2012-08-21T00:00:00,1.0,2012,201,0.0879999995231628,22.0,0.037,ozone,139,very unhealthy
78,25.5,0.0,2012-09-17T00:00:00,1.0,2012,108,0.0729999542236328,23.0,0.039,ozone,201,unhealthy 4 sensitive
68,26.5,0.0,2012-08-14T00:00:00,1.0,2012,150,0.0849999785423279,25.0,0.027,ozone,200,unhealthy 4 sensitive
65,26.5,0.0,2012-08-15T00:00:00,1.0,2012,200,0.101999998092651,25.0,0.03,ozone,201,unhealthy
97,10.6,0.0,2012-01-04T00:00:00,0.0,2012,178,0.0329999998211861,108.0,0.098,pm25,184,unhealthy
97,10.6,0.0,2012-01-25T00:00:00,0.0,2012,154,0.0299999974668026,61.0,0.112,pm25,152,unhealthy
95,11.1,0.0,2012-02-16T00:00:00,0.0,2012,102,0.0399999991059303,36.0,0.094,pm25,110,unhealthy 4 sensitive
88,11.1,0.0,2012-02-19T00:00:00,0.0,2012,105,0.0399999991059303,37.0,0.04,pm25,91,unhealthy 4 sensitive
96,11.1,0.0,2012-02-03T00:00:00,0.0,2012,97,0.0399999991059303,34.0,0.091,pm25,102,moderate
96,11.6,0.0,2012-01-26T00:00:00,0.0,2012,152,0.0299999974668026,58.0,0.109,pm25,154,unhealthy
88,11.6,0.0,2012-03-09T00:00:00,0.0,2012,66,0.0589999966323376,19.0,0.057,pm25,100,moderate
97,11.6,0.0,2012-02-12T00:00:00,0.0,2012,97,0.0399999991059303,34.0,0.029,pm25,82,moderate
93,12.6,0.0,2012-03-18T00:00:00,0.0,2012,44,0.0479999966919422,8.0,0.013,ozone,59,good
93,13.1,0.0,2012-03-22T00:00:00,0.25,2012,59,0.0419999994337559,16.0,0.024,pm25,74,moderate
91,13.6,0.0,2012-03-16T00:00:00,0.0,2012,46,0.0359999984502792,11.0,0.009,pm25,48,good
93,13.6,0.0,2012-04-13T00:00:00,0.25,2012,54,0.0559999980032444,10.0,0.015,ozone,44,moderate
95,14.1,0.0,2012-04-11T00:00:00,0.25,2012,42,0.0419999994337559,10.0,0.021,pm25,63,good
92,14.1,0.0,2012-04-08T00:00:00,0.25,2012,129,0.0789999961853027,19.0,0.024,ozone,129,unhealthy 4 sensitive
92,14.6,0.0,2012-11-15T00:00:00,0.75,2012,151,0.0399999991059303,56.0,0.053,pm25,122,unhealthy
95,14.6,0.0,2012-11-30T00:00:00,0.75,2012,33,0.0329999998211861,8.0,0.019,pm25,42,good
85,14.6,0.0,2012-03-28T00:00:00,0.25,2012,47,0.0509999990463257,10.0,0.018,ozone,66,good
89,14.6,0.0,2012-03-24T00:00:00,0.25,2012,61,0.0579999983310699,16.0,0.016,ozone,54,moderate
97,15.1,0.0,2012-11-23T00:00:00,0.75,2012,153,0.0369999967515469,59.0,0.061,pm25,152,unhealthy
91,15.1,0.0,2012-04-19T00:00:00,0.25,2012,63,0.0469999983906746,18.0,0.02,pm25,115,moderate
95,15.1,0.0,2012-04-01T00:00:00,0.25,2012,46,0.0469999983906746,11.0,0.007,pm25,66,good
96,15.1,0.0,2012-12-08T00:00:00,0.75,2012,84,0.0259999968111515,28.0,0.089,pm25,80,moderate
90,16.2,0.0,2012-11-10T00:00:00,0.75,2012,78,0.0389999970793724,25.0,0.04,pm25,124,moderate
94,18.2,0.0,2012-11-06T00:00:00,0.75,2012,155,0.061999998986721,63.0,0.072,pm25,162,unhealthy
68,21.2,0.0,2012-06-09T00:00:00,0.25,2012,71,0.0609999969601631,19.0,0.01,ozone,115,moderate
93,21.2,0.0,2012-10-20T00:00:00,0.75,2012,76,0.061999998986721,24.0,0.029,pm25,59,moderate
70,21.2,0.0,2012-05-25T00:00:00,0.25,2012,49,0.0529999993741512,10.0,0.01,ozone,48,good
73,22.2,0.0,2012-06-27T00:00:00,1.0,2012,108,0.0729999542236328,17.0,0.018,ozone,115,unhealthy 4 sensitive
66,23.2,1.5,2012-07-03T00:00:00,1.0,2012,97,0.0689999461174011,17.0,0.012,ozone,201,moderate
82,23.2,0.0,2012-10-04T00:00:00,0.75,2012,111,0.0739999413490295,32.0,0.05,ozone,70,unhealthy 4 sensitive
82,23.2,0.0,2012-06-01T00:00:00,0.25,2012,200,0.10099995136261,26.0,0.032,ozone,57,unhealthy
66,24.2,0.0,2012-07-20T00:00:00,1.0,2012,104,0.0719999670982361,22.0,0.01,ozone,200,unhealthy 4 sensitive
77,24.2,0.0,2012-06-16T00:00:00,0.25,2012,110,0.112999975681305,39.0,0.02,pm25,118,unhealthy 4 sensitive
85,24.2,0.0,2012-09-23T00:00:00,0.75,2012,93,0.0679999589920044,31.0,0.025,ozone,132,moderate
65,24.2,1.5,2012-06-15T00:00:00,0.25,2012,143,0.0829999446868896,24.0,0.011,ozone,110,unhealthy 4 sensitive
79,24.2,0.0,2012-09-22T00:00:00,0.75,2012,102,0.110999941825867,36.0,0.049,pm25,93,unhealthy 4 sensitive
73,25.2,0.0,2012-09-18T00:00:00,1.0,2012,201,0.0869999527931213,28.0,0.024,ozone,150,very unhealthy
79,26.2,0.0,2012-08-11T00:00:00,1.0,2012,76,0.113999962806702,24.0,0.015,pm25,200,moderate
46,26.2,0.0,2012-08-17T00:00:00,1.0,2012,201,0.0859999656677246,21.0,0.016,ozone,146,very unhealthy
96,16.7,0.0,2012-04-21T00:00:00,0.25,2012,201,0.0959999561309814,39.0,0.022,ozone,111,very unhealthy
91,20.7,0.0,2012-10-15T00:00:00,0.75,2012,154,0.0699999928474426,61.0,0.056,pm25,137,unhealthy
73,22.7,3.1,2012-06-04T00:00:00,0.25,2012,89,0.0429999977350235,30.0,0.005,pm25,47,moderate
79,23.7,0.0,2012-06-22T00:00:00,1.0,2012,50,0.0469999983906746,12.0,0.01,pm25,46,good
69,23.7,0.0,2012-07-06T00:00:00,1.0,2012,125,0.0779999494552612,22.0,0.015,ozone,201,unhealthy 4 sensitive
82,24.7,0.0,2012-07-25T00:00:00,1.0,2012,201,0.0859999656677246,26.0,0.021,ozone,146,very unhealthy
76,24.7,0.0,2012-07-11T00:00:00,1.0,2012,93,0.11599999666214,32.0,0.023,pm25,102,moderate
76,24.7,0.0,2012-08-03T00:00:00,1.0,2012,201,0.093999981880188,17.0,0.031,ozone,122,very unhealthy
72,24.7,0.0,2012-07-21T00:00:00,1.0,2012,200,0.102999985218048,24.0,0.018,ozone,143,unhealthy
73,24.7,0.0,2012-07-29T00:00:00,1.0,2012,108,0.0729999542236328,18.0,0.009,ozone,200,unhealthy 4 sensitive
75,24.7,0.0,2012-06-20T00:00:00,1.0,2012,201,0.0929999947547913,25.0,0.013,ozone,146,very unhealthy
83,24.7,0.0,2012-07-15T00:00:00,1.0,2012,122,0.0769999623298645,23.0,0.018,ozone,108,unhealthy 4 sensitive
81,24.7,0.0,2012-07-30T00:00:00,1.0,2012,200,0.0979999899864197,24.0,0.024,ozone,200,unhealthy
74,24.7,0.0,2012-07-14T00:00:00,1.0,2012,104,0.0719999670982361,19.0,0.012,ozone,122,unhealthy 4 sensitive
78,24.7,0.0,2012-07-26T00:00:00,1.0,2012,146,0.0839999914169312,33.0,0.018,ozone,118,unhealthy 4 sensitive
81,25.7,0.0,2012-08-27T00:00:00,1.0,2012,143,0.0829999446868896,21.0,0.015,ozone,132,unhealthy 4 sensitive
80,25.7,0.0,2012-08-09T00:00:00,1.0,2012,82,0.11899995803833,27.0,0.026,pm25,76,moderate
83,25.7,0.0,2012-08-05T00:00:00,1.0,2012,93,0.0679999589920044,21.0,0.01,ozone,201,moderate
90,9.2,0.0,2012-01-18T00:00:00,0.0,2012,160,0.0359999984502792,72.0,0.14,pm25,151,unhealthy
92,9.7,1.5,2012-01-20T00:00:00,0.0,2012,154,0.0319999977946281,62.0,0.036,pm25,102,unhealthy
91,10.2,0.0,2012-01-11T00:00:00,0.0,2012,162,0.0369999967515469,76.0,0.114,pm25,156,unhealthy
97,10.2,0.0,2012-01-01T00:00:00,0.0,2012,183,0.0529999993741512,117.0,0.125,pm25,161,unhealthy
94,10.2,0.0,2012-01-12T00:00:00,0.0,2012,156,0.0379999987781048,65.0,0.15,pm25,164,unhealthy
94,10.2,0.0,2012-01-13T00:00:00,0.0,2012,164,0.0459999963641167,81.0,0.119,pm25,154,unhealthy
96,10.7,0.0,2012-01-06T00:00:00,0.0,2012,183,0.040999997407198,117.0,0.155,pm25,159,unhealthy
96,10.7,0.0,2012-01-05T00:00:00,0.0,2012,184,0.0339999981224537,119.0,0.121,pm25,183,unhealthy
93,10.7,0.0,2012-02-05T00:00:00,0.0,2012,84,0.0469999983906746,28.0,0.068,pm25,84,moderate
96,10.7,0.0,2012-01-24T00:00:00,0.0,2012,134,0.0249999985098839,49.0,0.101,pm25,154,unhealthy 4 sensitive
94,10.7,0.0,2012-12-31T00:00:00,0.0,2012,166,0.0309999994933605,84.0,0.0829999,pm25,159,unhealthy
93,11.2,0.0,2012-12-22T00:00:00,0.0,2012,68,0.0429999977350235,20.0,0.022,pm25,35,moderate
87,11.2,0.0,2012-02-26T00:00:00,0.0,2012,72,0.0459999963641167,22.0,0.031,pm25,66,moderate
95,11.7,0.0,2012-02-13T00:00:00,0.0,2012,82,0.0419999994337559,27.0,0.019,pm25,102,moderate
96,11.7,0.0,2012-12-27T00:00:00,0.0,2012,82,0.0359999984502792,27.0,0.041,pm25,127,moderate
96,11.7,0.0,2012-01-27T00:00:00,0.0,2012,154,0.0159999988973141,61.0,0.037,pm25,119,unhealthy
87,11.7,0.0,2012-03-10T00:00:00,0.0,2012,100,0.0699999928474426,30.0,0.036,ozone,53,moderate
96,11.7,0.0,2012-12-25T00:00:00,0.0,2012,70,0.0349999964237213,21.0,0.013,pm25,59,moderate
95,11.7,0.0,2012-12-26T00:00:00,0.0,2012,59,0.040999997407198,16.0,0.021,pm25,82,moderate
96,11.7,0.0,2012-03-03T00:00:00,0.0,2012,95,0.0509999990463257,33.0,0.08,pm25,87,moderate
93,12.2,0.0,2012-03-12T00:00:00,0.0,2012,74,0.0519999973475933,23.0,0.039,pm25,63,moderate
96,12.2,0.0,2012-12-15T00:00:00,0.75,2012,160,0.0279999971389771,72.0,0.0779999,pm25,117,unhealthy
94,12.2,0.0,2012-03-05T00:00:00,0.0,2012,76,0.056999996304512,24.0,0.0689999,pm25,44,moderate
84,13.2,0.0,2012-03-23T00:00:00,0.25,2012,74,0.044999998062849,23.0,0.02,pm25,61,moderate
82,13.7,0.0,2012-03-15T00:00:00,0.0,2012,59,0.044999998062849,16.0,0.015,pm25,46,moderate
87,13.7,0.0,2012-04-15T00:00:00,0.25,2012,61,0.0579999983310699,13.0,0.016,ozone,84,moderate
88,13.7,0.0,2012-03-26T00:00:00,0.25,2012,63,0.0529999993741512,18.0,0.016,pm25,66,moderate
79,14.2,0.0,2012-04-10T00:00:00,0.25,2012,90,0.0669999718666077,21.0,0.018,ozone,42,moderate
93,14.7,0.0,2012-11-13T00:00:00,0.75,2012,112,0.0339999981224537,40.0,0.132,pm25,132,unhealthy 4 sensitive
93,14.7,0.0,2012-11-14T00:00:00,0.75,2012,132,0.0429999977350235,48.0,0.11,pm25,151,unhealthy 4 sensitive
83,14.7,2.1,2012-04-18T00:00:00,0.25,2012,67,0.0599999986588955,11.0,0.01,ozone,63,moderate
96,14.7,0.0,2012-11-25T00:00:00,0.75,2012,156,0.0439999997615814,65.0,0.05,pm25,161,unhealthy
96,14.7,0.0,2012-12-09T00:00:00,0.75,2012,80,0.0169999971985817,26.0,0.038,pm25,156,moderate
96,15.2,0.0,2012-12-05T00:00:00,0.75,2012,80,0.0259999968111515,26.0,0.039,pm25,66,moderate
95,15.2,1.5,2012-12-02T00:00:00,0.75,2012,32,0.0349999964237213,7.0,0.005,ozone,68,good
94,15.2,0.0,2012-04-03T00:00:00,0.25,2012,77,0.062999963760376,18.0,0.023,ozone,53,moderate
96,15.7,0.0,2012-11-19T00:00:00,0.75,2012,110,0.0349999964237213,39.0,0.118,pm25,91,unhealthy 4 sensitive
95,15.7,0.0,2012-11-11T00:00:00,0.75,2012,124,0.0419999994337559,45.0,0.0689999,pm25,119,unhealthy 4 sensitive
93,16.4,0.0,2012-03-29T00:00:00,0.25,2012,66,0.0529999993741512,19.0,0.022,pm25,80,moderate
96,16.4,0.0,2012-03-30T00:00:00,0.25,2012,80,0.0579999983310699,26.0,0.029,pm25,91,moderate
94,18.4,0.0,2012-10-28T00:00:00,0.75,2012,111,0.0739999413490295,31.0,0.053,ozone,112,unhealthy 4 sensitive
84,18.4,0.0,2012-10-25T00:00:00,0.75,2012,63,0.0419999994337559,18.0,0.031,pm25,80,moderate
91,18.4,0.0,2012-10-31T00:00:00,0.75,2012,112,0.0589999966323376,40.0,0.063,pm25,105,unhealthy 4 sensitive
76,20.4,0.0,2012-05-26T00:00:00,0.25,2012,48,0.0519999973475933,10.0,0.005,ozone,53,good
95,20.4,0.0,2012-10-13T00:00:00,0.75,2012,80,0.0519999973475933,26.0,0.038,pm25,80,moderate
79,21.4,0.0,2012-06-11T00:00:00,0.25,2012,201,0.0869999527931213,19.0,0.02,ozone,201,very unhealthy
75,21.4,3.6,2012-06-08T00:00:00,0.25,2012,80,0.0639999508857727,14.0,0.009,ozone,71,moderate
70,22.4,0.0,2012-05-30T00:00:00,0.25,2012,100,0.0699999928474426,20.0,0.011,ozone,200,moderate
83,23.4,0.0,2012-10-02T00:00:00,0.75,2012,93,0.11599999666214,32.0,0.045,pm25,80,moderate
81,23.4,0.0,2012-10-01T00:00:00,0.75,2012,200,0.101999998092651,37.0,0.04,ozone,93,unhealthy
87,23.4,0.0,2012-09-30T00:00:00,0.75,2012,200,0.104999959468842,40.0,0.039,ozone,200,unhealthy
90,23.4,0.0,2012-09-29T00:00:00,0.75,2012,201,0.0929999947547913,40.0,0.033,ozone,200,very unhealthy
54,24.4,1.5,2012-07-10T00:00:00,1.0,2012,200,0.0999999642372131,27.0,0.019,ozone,93,unhealthy
90,24.4,0.0,2012-09-02T00:00:00,1.0,2012,108,0.0729999542236328,30.0,0.021,ozone,139,unhealthy 4 sensitive
84,24.4,0.0,2012-09-04T00:00:00,1.0,2012,122,0.0769999623298645,31.0,0.047,ozone,201,unhealthy 4 sensitive
84,24.4,0.0,2012-09-03T00:00:00,1.0,2012,139,0.0819999575614929,24.0,0.022,ozone,122,unhealthy 4 sensitive
51,25.4,0.0,2012-08-08T00:00:00,1.0,2012,200,0.0979999899864197,26.0,0.021,ozone,82,unhealthy
79,25.4,0.0,2012-09-11T00:00:00,1.0,2012,143,0.0829999446868896,24.0,0.03,ozone,201,unhealthy 4 sensitive
92,25.4,0.0,2012-08-28T00:00:00,1.0,2012,132,0.0799999833106995,21.0,0.025,ozone,200,unhealthy 4 sensitive
70,25.4,0.0,2012-08-06T00:00:00,1.0,2012,201,0.0869999527931213,21.0,0.012,ozone,150,very unhealthy
77,25.4,0.0,2012-08-07T00:00:00,1.0,2012,150,0.0849999785423279,26.0,0.031,ozone,200,unhealthy 4 sensitive
78,26.4,0.0,2012-08-13T00:00:00,1.0,2012,95,0.10699999332428,33.0,0.022,pm25,150,moderate
63,26.4,0.0,2012-08-16T00:00:00,1.0,2012,201,0.0959999561309814,24.0,0.019,ozone,201,very unhealthy
89,17.9,0.0,2012-11-08T00:00:00,0.75,2012,78,0.0429999977350235,25.0,0.047,pm25,68,moderate
96,18.9,0.0,2012-10-23T00:00:00,0.75,2012,50,0.0389999970793724,12.0,0.076,pm25,46,good
89,20.9,0.0,2012-10-11T00:00:00,0.75,2012,78,0.040999997407198,25.0,0.026,pm25,82,moderate
72,21.9,0.0,2012-05-29T00:00:00,0.25,2012,67,0.0599999986588955,12.0,0.008,ozone,100,moderate
82,22.9,3.1,2012-07-01T00:00:00,1.0,2012,46,0.0419999994337559,11.0,0.005,pm25,64,good
81,22.9,0.0,2012-06-23T00:00:00,1.0,2012,46,0.0499999970197678,6.0,0.004,ozone,51,good
62,23.9,0.0,2012-07-07T00:00:00,1.0,2012,201,0.0949999690055847,25.0,0.012,ozone,201,very unhealthy
80,23.9,0.0,2012-07-19T00:00:00,1.0,2012,101,0.0709999799728394,29.0,0.026,ozone,104,unhealthy 4 sensitive
59,24.9,0.0,2012-07-13T00:00:00,1.0,2012,150,0.0849999785423279,35.0,0.028,ozone,104,unhealthy 4 sensitive
78,25.9,0.0,2012-08-10T00:00:00,1.0,2012,76,0.114999949932098,24.0,0.024,pm25,76,moderate
73,25.9,0.0,2012-06-17T00:00:00,0.25,2012,118,0.0759999752044678,32.0,0.016,ozone,143,unhealthy 4 sensitive
94,16.1,0.0,2012-03-31T00:00:00,0.25,2012,91,0.0489999987185001,31.0,0.013,pm25,46,moderate
96,17.1,0.0,2012-11-09T00:00:00,0.75,2012,68,0.0429999977350235,20.0,0.035,pm25,78,moderate
93,18.1,0.0,2012-11-07T00:00:00,0.75,2012,162,0.0719999670982361,77.0,0.112,pm25,78,unhealthy
94,18.1,0.0,2012-11-05T00:00:00,0.75,2012,115,0.0649999976158142,41.0,0.122,pm25,155,unhealthy 4 sensitive
96,18.1,0.0,2012-11-02T00:00:00,0.75,2012,102,0.0319999977946281,36.0,0.081,pm25,102,unhealthy 4 sensitive
74,21.1,0.0,2012-06-10T00:00:00,0.25,2012,115,0.074999988079071,17.0,0.014,ozone,201,unhealthy 4 sensitive
81,22.1,0.0,2012-06-26T00:00:00,1.0,2012,58,0.056999996304512,13.0,0.006,ozone,108,moderate
79,22.1,5.7,2012-06-05T00:00:00,0.25,2012,47,0.0509999990463257,7.0,0.005,ozone,54,good
91,22.1,0.0,2012-10-18T00:00:00,0.75,2012,125,0.0779999494552612,32.0,0.079,ozone,139,unhealthy 4 sensitive
83,22.1,0.0,2012-10-19T00:00:00,0.75,2012,139,0.0819999575614929,34.0,0.045,ozone,76,unhealthy 4 sensitive
78,23.1,0.0,2012-06-14T00:00:00,0.25,2012,132,0.0799999833106995,23.0,0.026,ozone,143,unhealthy 4 sensitive
65,23.1,3.6,2012-06-02T00:00:00,0.25,2012,57,0.0509999990463257,15.0,0.007,pm25,84,moderate
80,23.1,0.0,2012-06-12T00:00:00,0.25,2012,201,0.0969999432563782,27.0,0.036,ozone,87,very unhealthy
78,24.1,0.0,2012-07-18T00:00:00,1.0,2012,115,0.074999988079071,24.0,0.016,ozone,101,unhealthy 4 sensitive
64,24.1,0.0,2012-07-08T00:00:00,1.0,2012,201,0.0949999690055847,20.0,0.009,ozone,201,very unhealthy
77,24.1,0.0,2012-09-24T00:00:00,0.75,2012,132,0.0669999718666077,48.0,0.022,pm25,118,unhealthy 4 sensitive
63,24.1,0.0,2012-07-09T00:00:00,1.0,2012,201,0.0959999561309814,22.0,0.016,ozone,200,very unhealthy
82,25.1,0.0,2012-09-12T00:00:00,1.0,2012,201,0.0949999690055847,32.0,0.05,ozone,112,very unhealthy
78,25.1,0.0,2012-07-22T00:00:00,1.0,2012,143,0.0829999446868896,16.0,0.013,ozone,201,unhealthy 4 sensitive
72,25.1,0.0,2012-07-23T00:00:00,1.0,2012,201,0.0899999737739563,25.0,0.033,ozone,118,very unhealthy
80,26.1,0.0,2012-09-13T00:00:00,1.0,2012,112,0.108999967575073,40.0,0.057,pm25,93,unhealthy 4 sensitive
87,9.3,0.0,2012-01-17T00:00:00,0.0,2012,127,0.0299999974668026,46.0,0.119,pm25,160,unhealthy 4 sensitive
94,10.3,0.0,2012-01-02T00:00:00,0.0,2012,161,0.0369999967515469,74.0,0.099,pm25,161,unhealthy
95,10.3,0.0,2012-01-22T00:00:00,0.0,2012,80,0.0329999998211861,26.0,0.026,pm25,46,moderate
83,10.8,0.0,2012-12-21T00:00:00,0.0,2012,66,0.0359999984502792,19.0,0.041,pm25,68,moderate
91,10.8,0.0,2012-02-20T00:00:00,0.0,2012,91,0.044999998062849,31.0,0.048,pm25,97,moderate
96,10.8,0.0,2012-02-17T00:00:00,0.0,2012,110,0.0429999977350235,39.0,0.051,pm25,105,unhealthy 4 sensitive
94,10.8,0.0,2012-01-21T00:00:00,0.0,2012,102,0.0389999970793724,36.0,0.052,pm25,80,unhealthy 4 sensitive
94,10.8,1.5,2012-02-29T00:00:00,0.0,2012,63,0.0429999977350235,18.0,0.019,pm25,50,moderate
95,10.8,0.0,2012-12-30T00:00:00,0.0,2012,89,0.0349999964237213,30.0,0.045,pm25,166,moderate
95,10.8,0.0,2012-02-18T00:00:00,0.0,2012,105,0.044999998062849,37.0,0.039,pm25,105,unhealthy 4 sensitive
95,10.8,0.0,2012-02-21T00:00:00,0.0,2012,97,0.0419999994337559,34.0,0.068,pm25,99,moderate
94,10.8,0.0,2012-01-23T00:00:00,0.0,2012,46,0.0339999981224537,11.0,0.013,pm25,134,good
97,10.8,0.0,2012-02-28T00:00:00,0.0,2012,93,0.0429999977350235,32.0,0.029,pm25,63,moderate
