max_rh_93710,max_soil_temp_93710,min_wss_93720,date,Season,year,aqi,ozone,pm25,nox,pollutant
76,27.5,0.0,2017-06-25T00:00:00,1.0,2017,147,0.0840999484062195,16.8,0.0115,ozone
76,28.5,0.0,2017-09-05T00:00:00,1.0,2017,145,0.0836999416351318,29.6,0.0154,ozone
90,7.3,0.0,2017-12-20T00:00:00,0.75,2017,64,0.0361999943852425,18.4,0.0279,pm25
99,7.3,0.0,2017-12-21T00:00:00,0.0,2017,115,0.0401999950408936,41.3,0.0818,pm25
99,7.3,0.0,2017-12-14T00:00:00,0.75,2017,165,0.0486000031232834,83.4,0.0834,pm25
97,7.8,0.0,2017-12-11T00:00:00,0.75,2017,152,0.031300000846386,57.5,0.1373,pm25
96,8.1,0.0,2017-12-10T00:00:00,0.75,2017,152,0.0441999956965446,58.0,0.0935,pm25
95,8.6,0.0,2017-12-09T00:00:00,0.75,2017,148,0.0458000004291534,54.4,0.1073,pm25
94,9.1,0.0,2017-12-07T00:00:00,0.75,2017,98,0.0378999933600426,34.4,0.103,pm25
97,9.1,0.0,2017-12-23T00:00:00,0.0,2017,155,0.030799999833107,63.6,0.0677,pm25
96,9.6,0.0,2017-12-25T00:00:00,0.0,2017,169,0.037600003182888,89.4,0.039,pm25
95,9.6,0.0,2017-12-26T00:00:00,0.0,2017,171,0.0452999994158745,95.2,0.0991,pm25
99,10.6,0.0,2017-12-05T00:00:00,0.75,2017,128,0.0319999977946281,46.3,0.0753999,pm25
98,10.6,0.0,2017-01-30T00:00:00,0.0,2017,99,0.0396000035107136,35.1,0.1141,pm25
91,11.1,0.0,2017-01-03T00:00:00,0.0,2017,55,0.0368000008165836,14.0,0.0306,pm25
95,11.1,0.0,2017-01-02T00:00:00,0.0,2017,76,0.0281000025570393,24.1,0.0442,pm25
94,11.1,0.0,2017-01-01T00:00:00,0.0,2017,71,0.035800002515316,21.8,0.028,pm25
97,11.6,2.1,2017-01-07T00:00:00,0.0,2017,64,0.0226000025868416,18.5,0.0144,pm25
96,11.6,3.1,2017-01-04T00:00:00,0.0,2017,34,0.0366000048816204,5.6,0.0111,ozone
95,11.6,0.0,2017-01-22T00:00:00,0.0,2017,49,0.0408999919891357,11.8,0.0079,pm25
93,11.6,0.0,2017-01-20T00:00:00,0.0,2017,55,0.0416000038385391,13.9,0.0245,pm25
95,11.6,0.0,2017-01-23T00:00:00,0.0,2017,72,0.0403999909758568,22.1,0.0339,pm25
96,12.1,0.0,2017-03-06T00:00:00,0.0,2017,50,0.04789999127388,11.9,0.0395,pm25
94,12.1,0.0,2017-02-26T00:00:00,0.0,2017,79,0.0508999936282635,25.2,0.0246,pm25
92,12.6,0.0,2017-02-28T00:00:00,0.0,2017,60,0.0466999933123589,16.6,0.0417,pm25
93,12.6,0.0,2017-02-27T00:00:00,0.0,2017,69,0.0451999939978123,20.7,0.0201,pm25
96,12.6,0.0,2017-03-03T00:00:00,0.0,2017,74,0.0526999942958355,23.1,0.0467,pm25
98,13.1,0.0,2017-02-13T00:00:00,0.0,2017,72,0.0378999933600426,22.3,0.0828,pm25
96,13.1,2.1,2017-02-17T00:00:00,0.0,2017,42,0.042600005865097,10.0,0.0082,pm25
97,13.6,0.0,2017-02-15T00:00:00,0.0,2017,84,0.0458999909460545,28.0,0.0525,pm25
92,13.6,0.0,2017-02-23T00:00:00,0.0,2017,40,0.0428999923169613,8.8,0.0154,ozone
94,13.6,0.0,2017-02-19T00:00:00,0.0,2017,46,0.0439999997615814,11.0,0.0061,pm25
98,14.1,0.0,2017-12-04T00:00:00,0.75,2017,94,0.0288999937474728,32.6,0.0656,pm25
96,15.1,0.0,2017-03-30T00:00:00,0.25,2017,58,0.0501999966800213,15.3,0.0157,pm25
94,15.1,1.5,2017-03-24T00:00:00,0.25,2017,71,0.044999998062849,21.7,0.0108,pm25
98,15.1,0.0,2017-03-26T00:00:00,0.25,2017,67,0.0493999905884266,19.5,0.02,pm25
95,15.1,0.0,2017-03-28T00:00:00,0.25,2017,52,0.0459999963641167,12.6,0.0366,pm25
80,16.2,0.0,2017-05-15T00:00:00,0.25,2017,57,0.0453999936580658,15.0,0.0078,pm25
94,16.2,0.0,2017-11-21T00:00:00,0.75,2017,103,0.0521000027656555,36.4,0.0705,pm25
97,16.2,0.0,2017-11-23T00:00:00,0.75,2017,109,0.0582999996840954,38.8,0.043,pm25
99,16.2,0.0,2017-11-25T00:00:00,0.75,2017,121,0.0453999936580658,43.8,0.0522,pm25
91,17.2,1.5,2017-11-10T00:00:00,0.75,2017,52,0.0406000055372715,12.8,0.0187,pm25
86,17.2,0.0,2017-05-01T00:00:00,0.25,2017,109,0.073199987411499,24.7,0.0222,ozone
93,17.2,5.1,2017-04-27T00:00:00,0.25,2017,66,0.0594999976456165,10.1,0.006,ozone
86,18.2,0.0,2017-05-02T00:00:00,0.25,2017,201,0.0857999920845032,16.7,0.0437,ozone
83,18.2,0.0,2017-10-06T00:00:00,0.75,2017,90,0.0667999982833862,21.0,0.0468,ozone
69,18.2,0.0,2017-05-20T00:00:00,0.25,2017,111,0.0737999677658081,19.7,0.0172,ozone
93,20.2,0.0,2017-10-01T00:00:00,0.75,2017,60,0.0531999953091145,16.2,0.0139,pm25
77,20.2,0.0,2017-06-03T00:00:00,0.25,2017,150,0.0849999785423279,17.9,0.0124,ozone
88,20.2,0.0,2017-05-03T00:00:00,0.25,2017,146,0.0839999914169312,27.3,0.0507,ozone
79,25.2,0.0,2017-08-22T00:00:00,1.0,2017,93,0.067799985408783,25.7,0.0125,ozone
74,25.2,0.0,2017-08-14T00:00:00,1.0,2017,65,0.037600003182888,18.7,0.01,pm25
75,25.2,1.5,2017-08-17T00:00:00,1.0,2017,103,0.0716999769210815,28.1,0.0128,ozone
74,25.2,2.1,2017-08-21T00:00:00,1.0,2017,77,0.0568999908864498,24.7,0.011,pm25
