date,month,year,Season,carryover,max_rh_93612,max_stat_pres_93612,min_stat_press_93612,sum_sol_rad_93612,max_eto_93710,max_precip_93710,max_soil_temp_93710,max_wss_93720,min_wss_93720,nox,ozone,pm25,pollutant,aqi
2012-04-06T00:00:00,4,2012,0.25,45,93,1010.57,1006.57,4048623.3599999328,0.54,0.54,14.0,3.6,0.0,0.044,0.0509999990463257,11.0,ozone,47
2017-05-06T00:00:00,5,2017,0.25,53,47,996.3,990.834,2122813.4400000125,0.37,0.37,20.7,7.2,0.0,0.0332,0.047800000756979,11.7,pm25,49
2018-06-02T00:00:00,6,2018,0.25,64,61,1002.3,997.1,4876842.2400002936,0.85,0.85,21.2,4.6,0.0,0.0192,0.0745999813079834,17.6,ozone,114
2012-11-17T00:00:00,11,2012,0.75,122,100,1003.9,999.9,952853.75999999617,0.24,0.24,15.8,6.2,0.0,0.013,0.0349999964237213,19.0,pm25,66
2013-03-11T00:00:00,3,2013,0.0,87,100,1010.57,1005.23,3204322.5599998431,0.67,0.0,12.8,3.6,0.0,0.062,0.0559999980032444,23.0,pm25,74
2013-10-02T00:00:00,10,2013,0.75,46,98,999.9,997.234,3160097.2799999416,0.58,0.0,20.4,5.7,0.0,0.033,0.0559999980032444,15.0,pm25,57
2018-04-14T00:00:00,4,2018,0.25,46,80,1013.23,1004.7,4161196.7999997581,0.67,0.67,15.8,3.1,0.0,0.0199,0.0652999877929688,14.1,ozone,85
2019-11-20T00:00:00,11,2019,0.75,109,79,991.501,984.568,1073468.1599999766,0.22,0.22,16.9,7.2,0.0,0.0186,0.0298000015318394,19.4,pm25,66
2015-04-20T00:00:00,4,2015,0.25,132,79,998.567,994.567,4020479.9999998286,0.79,0.79,16.6,9.3,0.0,0.016,0.0639999508857727,20.0,ozone,80
2016-05-25T00:00:00,5,2016,0.25,36,70,1007.9,1005.1,4305934.0799998492,0.68,0.68,21.5,6.2,1.5,0.0076,0.0513999909162521,10.0,ozone,48
2012-08-06T00:00:00,8,2012,1.0,93,67,1005.23,999.9,4450671.3599998532,0.78,0.78,25.4,5.7,0.0,0.012,0.0869999527931213,21.0,ozone,201
2013-05-24T00:00:00,5,2013,0.25,74,88,1001.23,997.234,4780350.7200001,0.72,0.0,20.3,6.2,0.0,0.021,0.0699999928474426,18.0,ozone,100
2012-01-22T00:00:00,1,2012,0.0,102,100,1009.23,1002.57,824198.39999999525,0.24,0.24,10.3,4.6,0.0,0.026,0.0329999998211861,26.0,pm25,80
2013-12-31T00:00:00,12,2013,0.0,158,77,1009.23,1005.23,1479536.6399999817,0.28,0.0,9.5,2.1,0.0,0.143,0.0369999967515469,71.0,pm25,159
2013-10-10T00:00:00,10,2013,0.75,68,92,999.9,994.567,2782172.1600000565,0.46,0.0,18.8,5.1,0.0,0.065,0.0509999990463257,16.0,pm25,59
2017-04-15T00:00:00,4,2017,0.25,47,84,1006.43,1000.57,4169237.7599997888,0.61,0.61,16.1,3.6,0.0,0.0292,0.0608000010251999,12.1,ozone,70
2012-09-25T00:00:00,9,2012,0.75,132,67,999.9,995.9,3260609.27999992,0.6,0.6,23.8,3.6,0.0,0.048,0.0759999752044678,27.0,ozone,118
2012-01-20T00:00:00,1,2012,0.0,151,100,1007.9,998.567,522662.40000002278,0.15,0.15,9.7,5.7,1.5,0.036,0.0319999977946281,62.0,pm25,154
2015-05-02T00:00:00,5,2015,0.25,125,48,998.567,994.567,4655715.8400001228,0.85,0.85,18.2,5.7,0.0,0.028,0.0699999928474426,9.0,ozone,100
2015-04-14T00:00:00,4,2015,0.25,108,82,1013.23,1007.9,4201401.5999997789,0.72,0.72,15.3,11.3,4.6,0.006,0.0549999997019768,8.0,ozone,51
2016-01-05T00:00:00,1,2016,0.0,134,95,1006.57,998.7,289474.55999998661,0.04,0.04,10.6,8.2,1.5,0.0217,0.0326999947428703,30.0,pm25,89
2012-06-09T00:00:00,6,2012,0.25,80,65,999.9,995.9,4929108.4800002854,0.85,0.85,21.2,8.8,0.0,0.01,0.0609999969601631,19.0,ozone,71
2013-08-14T00:00:00,8,2013,1.0,201,73,998.567,994.567,4394384.6399996495,0.79,0.0,25.4,6.2,0.0,0.029,0.0889999866485596,26.0,ozone,201
2013-06-22T00:00:00,6,2013,1.0,61,73,997.234,993.234,4925088.00000023,0.8,0.0,22.7,6.2,0.0,0.018,0.0689999461174011,53.0,pm25,144
2016-08-05T00:00:00,8,2016,1.0,201,72,1002.3,998.567,4470773.7599997763,0.78,0.78,24.9,6.2,1.5,0.0094,0.0698999762535095,17.0,ozone,100
2019-08-05T00:00:00,8,2019,1.0,126,57,999.767,995.9,3891824.6399999945,0.79,0.79,26.8,6.7,1.5,0.0083,0.0698999762535095,17.6,ozone,100
2016-02-27T00:00:00,2,2016,0.0,99,96,1011.37,1006.97,2569086.7200000067,0.44,0.44,12.9,4.1,0.0,0.0175,0.0558000020682812,42.0,pm25,117
2015-05-30T00:00:00,5,2015,0.25,108,69,1001.23,997.234,4683859.2000000589,0.83,0.83,19.7,6.2,0.0,0.013,0.093999981880188,23.0,ozone,201
2013-02-21T00:00:00,2,2013,0.0,82,100,1007.9,1002.57,1769011.1999998922,0.39,0.0,9.6,4.1,0.0,0.096,0.028999999165535,21.0,pm25,70
2012-02-11T00:00:00,2,2012,0.0,107,100,1003.9,1001.23,1206143.999999996,0.27,0.27,11.8,6.2,1.5,0.018,0.0419999994337559,16.0,pm25,59
2015-04-03T00:00:00,4,2015,0.25,53,66,1010.57,1005.23,3887804.1600001855,0.64,0.64,15.3,4.6,0.0,0.04,0.0599999986588955,25.0,pm25,78
2015-08-23T00:00:00,8,2015,1.0,108,75,1005.23,1001.23,3682759.6799998954,0.73,0.73,22.9,5.7,1.5,0.008,0.0779999494552612,31.0,ozone,125
2012-12-02T00:00:00,12,2012,0.75,42,100,1005.23,1001.23,140716.79999999859,0.03,0.03,15.2,7.7,1.5,0.005,0.0349999964237213,7.0,ozone,32
2012-11-20T00:00:00,11,2012,0.75,110,100,1009.23,1005.23,1797154.559999987,0.32,0.32,15.5,2.1,0.0,0.112,0.0399999991059303,31.0,pm25,91
2012-12-07T00:00:00,12,2012,0.75,66,100,1006.57,1003.9,1202123.519999973,0.2,0.2,15.4,5.1,0.0,0.115,0.0269999988377094,33.0,pm25,95
2015-03-03T00:00:00,3,2015,0.0,63,95,1005.23,1002.57,2786192.6399999792,0.41,0.41,12.7,6.2,0.0,0.041,0.044999998062849,18.0,pm25,63
2012-09-11T00:00:00,9,2012,1.0,115,63,999.9,995.9,3614411.5200002063,0.68,0.68,25.4,4.1,0.0,0.03,0.0829999446868896,24.0,ozone,143
2012-08-07T00:00:00,8,2012,1.0,201,66,1002.57,998.567,4422527.99999971,0.8,0.8,25.4,7.2,0.0,0.031,0.0849999785423279,26.0,ozone,150
2013-07-23T00:00:00,7,2013,1.0,93,80,999.9,997.234,3706882.5599998645,0.77,0.0,27.6,6.7,0.0,0.02,0.0929999947547913,30.0,ozone,201
2012-04-02T00:00:00,4,2012,0.25,46,98,1009.23,1002.57,3714923.5200002091,0.54,0.54,14.9,3.6,0.0,0.028,0.0509999990463257,19.0,pm25,66
2013-11-30T00:00:00,11,2013,0.75,119,100,1010.57,1007.9,1668499.2000001022,0.29,0.1,13.3,3.1,0.0,0.054,0.0479999966919422,47.0,pm25,129
