date,month,year,Season,carryover,max_rh_93612,max_stat_pres_93612,min_stat_press_93612,sum_sol_rad_93612,max_eto_93710,max_precip_93710,max_soil_temp_93710,max_wss_93720,min_wss_93720,nox,ozone,pm25,pollutant,aqi,max_dp,min_dp,max_bar_press,min_bar_press,max_oTemp,min_oTemp
2013-07-17T00:00:00,7,2013,1.0,282,100,1003.9,999.9,4792412.1600002376,0.76,0.0,26.4,6.2,0.0,0.011,0.0689999461174011,17.0,ozone,97,7.42778,1.72777,1003.92,999.922,32.2,12.9
2013-11-19T00:00:00,11,2013,0.75,95,100,1003.9,999.9,1495618.5599999558,0.28,0.0,14.2,3.1,0.0,0.075,0.0399999991059303,33.0,pm25,95,1.6111,-4.87779,1003.92,999.922,17.5,7.9
2013-05-19T00:00:00,5,2013,0.25,97,91,1003.9,998.567,4792412.1600000905,0.76,0.0,20.2,6.7,0.0,0.008,0.0659999847412109,13.0,ozone,87,3.96111,-5.15001,1003.92,998.589,29.3,12.5
2012-10-19T00:00:00,10,2012,0.75,125,73,1003.9,998.567,2561045.7599999961,0.5,0.5,22.1,4.1,0.0,0.045,0.0819999575614929,34.0,ozone,139,7.32222,0.21666,1003.92,998.589,28.5,15.8
2012-11-01T00:00:00,11,2012,0.75,112,100,1003.9,1001.23,570908.16000000935,0.09,0.09,18.3,4.1,0.0,0.037,0.0169999971985817,37.0,pm25,105,-0.161119,-5.40557,1003.92,1001.26,18.7,12.9
2015-05-24T00:00:00,5,2015,0.25,76,81,1003.9,999.9,4703961.6000002325,0.72,0.72,18.5,4.6,0.0,0.015,0.0579999983310699,22.0,pm25,72,8.73889,4.44444,1004.06,999.523,28.7,12.0
2012-05-26T00:00:00,5,2012,0.25,49,75,1003.9,995.9,3956152.3199998527,0.69,0.69,20.4,6.2,0.0,0.005,0.0519999973475933,10.0,ozone,48,3.49999,-1.21112,1003.92,995.923,23.2,7.9
2012-04-08T00:00:00,4,2012,0.25,90,87,1003.9,999.9,4064705.2799998866,0.66,0.66,14.1,5.1,0.0,0.024,0.0789999961853027,19.0,ozone,129,-4.87779,-29.7389,1003.92,999.922,26.5,6.1
2015-08-04T00:00:00,8,2015,1.0,89,68,1003.9,1001.23,2621352.9599999832,0.44,0.44,24.1,6.7,1.5,0.023,0.0459999963641167,24.0,pm25,76,10.35,4.57222,1003.92,1001.26,27.2,15.5
2012-11-15T00:00:00,11,2012,0.75,132,93,1003.9,1001.23,1274492.1599999724,0.3,0.3,14.6,5.7,0.0,0.053,0.0399999991059303,56.0,pm25,151,5.52222,-8.95001,1003.92,1001.26,18.9,2.4
2012-09-30T00:00:00,9,2012,0.75,201,69,1003.9,999.9,3071646.71999986,0.6,0.6,23.4,3.1,0.0,0.039,0.104999959468842,40.0,ozone,200,2.41111,-5.0889,1003.92,999.922,33.8,15.6
2016-06-25T00:00:00,6,2016,1.0,115,52,1003.9,1000.17,4993436.1600001007,0.85,0.85,24.4,6.2,0.0,0.0136,0.0920999646186829,14.0,ozone,201,7.5,2.17777,1003.92,1000.19,36.0,14.4
2012-10-23T00:00:00,10,2012,0.75,50,100,1003.9,1001.23,2211264.0000000289,0.41,0.41,18.9,5.7,0.0,0.076,0.0389999970793724,12.0,pm25,50,3.39999,-1.25001,1003.92,1001.26,17.5,6.8
